Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,398144981.4,473189049.9,579384501,684019446.8,757121754.1,864373367.6,948798395.7,1065102613,1225688253,1305279330,1362139665,1508759777,1659513966,1680117318,1849430168,1862849162,1805642458,1967821229,2154189944,1852067039,2318715084,2230335196,2628547486,2410055866,2250223464,2302793296,2418547486,2416983240,2546871508,2566871508,2511731844,2530000000,,
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,548888848.9,560000022.2,557777806.7,766666706.7,815555562.2,1026666678,1428888871,1708888882,1402222182,1437777738,1784444427,1868886653,1631108938,1771108944,2202222229,2417777778,2611111162,3017777698,3371111038,3775743789,3716553247,3551514996,,,,,,,,,,,,,,,,,,,,,,,,,,,,12403617031,15884505937,17784867183,20033260270,20632790721,20482502575,20087073274,19458784524,20291074614,19485109596,
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6684491979,6684491979,6684491979,6684491979,10026737968,10026737968,10603784541,3498025673,3237547175,1943279030,4771491965,5829677654,6730621460,5537462252,4780892936,7448734815,7375076435,13650938445,16086223836,21063484641,32940028096,46203141535,57667420502,74821071499,63484025273,75712633817,1.02092E+11,1.17631E+11,1.2681E+11,1.36862E+11,1.10286E+11,95864386154,1.18386E+11,1.01047E+11,
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1860538012,1898450133,2097426250,2081196250,2051436250,2252990000,2026653750,1077859028,623387465.4,1173315762,1885951346,2436364854,3270645632,2308265055,2622700151,3287893635,3587133009,4048943479,4456874117,5767890489,7357036865,8215220617,9158036845,10974393817,12946376391,11852738078,11807797800,12894206053,12228015916,12996439142,13349631206,11522489610,12053988653,13057343881,15052463746,
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,32220890353,36814016959,43742618043,54519769996,1.05595E+11,1.20992E+11,1.51786E+11,1.72039E+11,1.89828E+11,2.49711E+11,3.36772E+11,3.4323E+11,3.24778E+11,3.09932E+11,3.13929E+11,3.13089E+11,3.0563E+11,3.24544E+11,3.19042E+11,3.32018E+11,4.55838E+11,4.38648E+11,4.7021E+11,4.78775E+11,4.87188E+11,5.31486E+11,5.82801E+11,6.16581E+11,6.00644E+11,6.41107E+11,7.22429E+11,7.15242E+11,7.26546E+11,8.16755E+11,9.60025E+11,1.18053E+12,1.40968E+12,1.65681E+12,2.09352E+12,1.79687E+12,2.09233E+12,2.4823E+12,2.76776E+12,2.83067E+12,2.89452E+12,2.56007E+12,2.51672E+12,2.59785E+12,2.78553E+12,
United Arab Emirates,ARE,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09429E+11,1.08376E+11,1.10737E+11,1.24292E+11,1.48532E+11,1.83503E+11,2.26854E+11,2.66289E+11,3.19279E+11,2.56161E+11,2.89688E+11,3.50776E+11,3.74888E+11,3.91687E+11,4.03796E+11,3.59878E+11,3.59142E+11,3.85352E+11,4.16167E+11,
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,,,25083407627,18744951948,26267861213,29078234021,29796191128,24344243039,26044571827,31036571603,30396317997,33634600191,34199500220,52722220654,72679890117,53148109438,51185002821,56339203223,57716474116,68626165141,76286574003,76842107526,79243829293,98072174235,74996801895,83672502114,1.05922E+11,1.05943E+11,1.20716E+11,70219462542,1.3515E+11,1.83857E+11,2.24531E+11,2.33744E+11,2.53743E+11,2.53363E+11,2.66648E+11,2.86641E+11,2.91542E+11,2.76059E+11,2.76656E+11,2.6097E+11,92763789033,1.22452E+11,1.46362E+11,1.76153E+11,2.24897E+11,2.79994E+11,3.52615E+11,3.22744E+11,4.09192E+11,5.1501E+11,5.33074E+11,5.40186E+11,5.15532E+11,5.83615E+11,5.45339E+11,6.26304E+11,4.99735E+11,
Armenia,ARM,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173850349,2066190377,1063305152,1102577587,1314624315,1466464586,1641664594,1738092424,1954126437,1900422182,1964463665,2182923205,2464539523,2901554574,3684033821,5106476300,6686478520,9703722479,12353321039,9006718264,9718566179,10502184926,11042356211,11804012742,12150653502,10996222172,10770352475,11990783768,12595225929,
American Samoa,ASM,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,75600000,77000000,67700000,68500000,79200000,84700000,105600000,127200000,139300000,151100000,166000000,178200000,189700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
